Symbol,Name,Weight,Chg,% Chg
TKO,TKO Group Holdings,0.03%,-0.89,(-0.44%)
TXT,Textron,0.03%,-2.95,(-3.22%)
KIM,Kimco Realty,0.03%,-0.37,(-1.60%)
INVH,Invitation Homes,0.03%,-0.21,(-0.85%)
TRMB,Trimble Inc.,0.03%,-1.56,(-2.33%)
CDW,CDW,0.03%,0.15,(0.13%)
J,Jacobs Solutions,0.03%,-2.55,(-1.96%)
NDSN,Nordson Corporation,0.02%,-3.49,(-1.29%)
APTV,Aptiv,0.02%,-1.89,(-2.62%)
DECK,Deckers Brands,0.02%,-0.12,(-0.11%)
MKC,McCormick & Company,0.02%,-1.97,(-3.45%)
TYL,Tyler Technologies,0.02%,-4.55,(-1.30%)
MAA,Mid-America Apartment Communities,0.02%,-3.07,(-2.40%)
PNR,Pentair,0.02%,-1.06,(-1.19%)
IEX,IDEX Corporation,0.02%,-0.23,(-0.12%)
GPC,Genuine Parts Company,0.02%,-1.24,(-1.21%)
REG,Regency Centers,0.02%,-0.81,(-1.05%)
COO,Cooper Companies (The),0.02%,-0.87,(-1.21%)
BBY,Best Buy,0.02%,0.24,(0.38%)
CLX,Clorox,0.02%,-2.58,(-2.31%)
HST,Host Hotels & Resorts,0.02%,0.27,(1.46%)
APA,APA Corporation,0.02%,0.79,(2.20%)
EG,Everest Group,0.02%,-2.69,(-0.83%)
HAS,Hasbro,0.02%,-1.68,(-1.80%)
ERIE,Erie Indemnity,0.02%,-3.17,(-1.28%)
DPZ,Domino's,0.02%,-19.68,(-4.97%)
AVY,Avery Dennison,0.02%,-6.48,(-3.78%)
HRL,Hormel Foods,0.02%,-0.11,(-0.48%)
ALLE,Allegion,0.02%,-1.3,(-0.89%)
GEN,Gen Digital,0.02%,-0.47,(-2.24%)
BEN,Franklin Resources,0.02%,-0.82,(-3.35%)
ALGN,Align Technology,0.02%,-3.69,(-2.10%)
MAS,Masco,0.02%,-1.8,(-2.92%)
DOC,Healthpeak Properties,0.02%,-0.17,(-0.95%)
JKHY,Jack Henry & Associates,0.02%,1.15,(0.69%)
PNW,Pinnacle West,0.02%,-3.33,(-3.25%)
GNRC,Generac,0.02%,-4.73,(-2.31%)
FOX,Fox Corporation (Class B),0.02%,-0.58,(-1.09%)
SOLV,Solventum,0.02%,-1.56,(-2.27%)
UDR,"UDR, Inc.",0.02%,-0.46,(-1.28%)
UHS,Universal Health Services,0.02%,-3.92,(-2.02%)
FOXA,Fox Corporation (Class A),0.02%,-0.64,(-1.10%)
TTD,"The Trade Desk, Inc.",0.02%,-1.51,(-6.02%)
IT,Gartner,0.02%,-3.97,(-2.45%)
GDDY,GoDaddy,0.02%,-1.8,(-2.12%)
SWK,Stanley Black & Decker,0.02%,-0.66,(-0.93%)
SJM,J.M. Smucker Company (The),0.02%,-1.2,(-1.16%)
GL,Globe Life,0.02%,-2.3,(-1.65%)
WYNN,Wynn Resorts,0.02%,-1.73,(-1.67%)
