Symbol,Name,Weight,Chg,% Chg
CPRT,Copart,0.05%,-0.25,(-0.74%)
OTIS,Otis Worldwide,0.05%,0.89,(1.08%)
PRU,Prudential Financial,0.05%,0.64,(0.69%)
NRG,NRG Energy,0.05%,-0.57,(-0.37%)
GEHC,GE HealthCare,0.05%,0.28,(0.40%)
HBAN,Huntington Bancshares,0.05%,0.15,(1.00%)
IRM,Iron Mountain,0.05%,-0.4,(-0.37%)
EME,"EMCOR Group, Inc.",0.05%,-0.9,(-0.13%)
A,Agilent Technologies,0.05%,0.04,(0.04%)
EL,EstÃ©e Lauder Companies (The),0.05%,2.58,(3.06%)
IR,Ingersoll Rand,0.05%,-1.05,(-1.29%)
ATO,Atmos Energy,0.05%,1.6,(0.86%)
DTE,DTE Energy,0.05%,1.35,(0.92%)
VICI,Vici Properties,0.05%,0.29,(0.99%)
AEE,Ameren,0.05%,1.92,(1.75%)
CBOE,Cboe Global Markets,0.05%,0.4,(0.14%)
FISV,"Fiserv, Inc.",0.05%,0.69,(1.23%)
FE,FirstEnergy,0.05%,0.68,(1.34%)
EXR,Extra Space Storage,0.05%,0.78,(0.55%)
IBKR,Interactive Brokers Group,0.05%,-0.13,(-0.19%)
DG,Dollar General,0.05%,-1.05,(-0.77%)
MTB,M&T Bank,0.05%,1.09,(0.55%)
TDY,Teledyne Technologies,0.05%,-6.92,(-1.07%)
PPL,PPL Corporation,0.05%,0.65,(1.72%)
XYL,Xylem Inc.,0.05%,-0.74,(-0.62%)
CTSH,Cognizant,0.05%,-0.54,(-0.89%)
TPR,"Tapestry, Inc.",0.05%,-0.12,(-0.09%)
RJF,Raymond James Financial,0.05%,1.7,(1.18%)
CNP,CenterPoint Energy,0.05%,0.55,(1.28%)
HAL,Halliburton,0.05%,-0.76,(-2.18%)
HPE,Hewlett Packard Enterprise,0.05%,-0.16,(-0.75%)
DVN,Devon Energy,0.05%,-0.39,(-0.84%)
EXPE,Expedia Group,0.05%,1.65,(0.73%)
UAL,United Airlines Holdings,0.05%,0.32,(0.37%)
WAT,Waters Corporation,0.05%,1.57,(0.55%)
IQV,IQVIA,0.05%,2.73,(1.68%)
EIX,Edison International,0.05%,1.09,(1.54%)
ES,Eversource Energy,0.05%,0.51,(0.69%)
VRSK,Verisk Analytics,0.05%,1.57,(0.79%)
CHTR,Charter Communications,0.05%,1.33,(0.62%)
DOV,Dover Corporation,0.05%,-0.91,(-0.44%)
WTW,Willis Towers Watson,0.05%,1.85,(0.65%)
AWK,American Water Works,0.04%,0.68,(0.49%)
BIIB,Biogen,0.04%,-0.81,(-0.44%)
FICO,Fair Isaac,0.04%,43.64,(3.99%)
ROL,"Rollins, Inc.",0.04%,0.04,(0.07%)
KHC,Kraft Heinz,0.04%,0.28,(1.23%)
DOW,Dow Inc.,0.04%,-0.74,(-1.96%)
JBL,Jabil,0.04%,-3.03,(-1.20%)
STZ,Constellation Brands,0.04%,2.63,(1.77%)
EXE,Expand Energy,0.04%,0.55,(0.51%)
WRB,W. R. Berkley Corporation,0.04%,0.4,(0.58%)
CINF,Cincinnati Financial,0.04%,1.0,(0.61%)
NTRS,Northern Trust,0.04%,0.99,(0.72%)
FIS,Fidelity National Information Services,0.04%,0.15,(0.30%)
TSCO,Tractor Supply,0.04%,-0.36,(-0.74%)
DXCM,Dexcom,0.04%,-0.29,(-0.44%)
STLD,Steel Dynamics,0.04%,-2.66,(-1.52%)
HUBB,Hubbell Incorporated,0.04%,-4.72,(-1.01%)
ULTA,Ulta Beauty,0.04%,-69.58,(-11.14%)
OMC,Omnicom Group,0.04%,0.88,(1.12%)
BG,Bunge Global,0.04%,-0.51,(-0.41%)
CTRA,Coterra,0.04%,-0.04,(-0.13%)
CFG,Citizens Financial Group,0.04%,-0.2,(-0.36%)
AVB,AvalonBay Communities,0.04%,0.06,(0.04%)
CMS,CMS Energy,0.04%,0.93,(1.21%)
MTD,Mettler Toledo,0.04%,1.61,(0.14%)
LEN,Lennar,0.04%,2.31,(2.50%)
CHD,Church & Dwight,0.04%,-0.25,(-0.26%)
LYB,LyondellBasell,0.04%,-1.9,(-2.55%)
DRI,Darden Restaurants,0.04%,3.79,(1.91%)
PHM,PulteGroup,0.04%,0.64,(0.53%)
BRO,Brown & Brown,0.04%,0.61,(0.91%)
ARES,Ares Management Corporation,0.04%,5.17,(5.35%)
ON,ON Semiconductor,0.04%,0.19,(0.32%)
EQR,Equity Residential,0.04%,0.08,(0.13%)
PPG,PPG Industries,0.04%,1.04,(1.03%)
NI,NiSource,0.04%,0.84,(1.80%)
Q,Qnity Electronics,0.04%,0.24,(0.22%)
L,Loews Corporation,0.04%,0.39,(0.36%)
SYF,Synchrony Financial,0.04%,0.3,(0.47%)
VLTO,Veralto,0.04%,0.31,(0.35%)
EFX,Equifax,0.04%,2.04,(1.12%)
DGX,Quest Diagnostics,0.04%,-0.06,(-0.03%)
DLTR,Dollar Tree,0.04%,-0.76,(-0.68%)
RF,Regions Financial Corporation,0.04%,0.1,(0.39%)
LDOS,Leidos,0.04%,-0.91,(-0.52%)
LH,LabCorp,0.04%,1.46,(0.56%)
CPAY,Corpay,0.04%,-2.15,(-0.67%)
VRSN,Verisign,0.04%,0.89,(0.38%)
TSN,Tyson Foods,0.04%,-0.01,(-0.02%)
GIS,General Mills,0.04%,0.83,(2.09%)
WSM,Williams-Sonoma,0.04%,0.31,(0.17%)
FSLR,First Solar,0.04%,0.42,(0.21%)
SW,Smurfit WestRock,0.03%,0.55,(1.38%)
KEY,KeyCorp,0.03%,0.08,(0.39%)
MRNA,Moderna,0.03%,-0.64,(-1.20%)
BR,Broadridge Financial Solutions,0.03%,0.51,(0.29%)
STE,Steris,0.03%,-1.94,(-0.91%)
CHRW,C.H. Robinson,0.03%,0.06,(0.04%)
HUM,Humana,0.03%,4.36,(2.66%)
RL,Ralph Lauren Corporation,0.03%,-2.25,(-0.67%)
IP,International Paper,0.03%,2.2,(6.18%)
SBAC,SBA Communications,0.03%,1.9,(1.03%)
CF,CF Industries,0.03%,-8.21,(-6.04%)
TROW,T. Rowe Price,0.03%,1.71,(1.94%)
PKG,Packaging Corporation of America,0.03%,2.73,(1.28%)
NTAP,NetApp,0.03%,1.03,(1.06%)
GPN,Global Payments,0.03%,-1.49,(-2.12%)
EXPD,Expeditors International,0.03%,0.71,(0.50%)
EVRG,Evergy,0.03%,1.09,(1.33%)
JBHT,J.B. Hunt,0.03%,0.05,(0.02%)
SNA,Snap-on,0.03%,0.75,(0.21%)
LUV,Southwest Airlines,0.03%,-0.31,(-0.80%)
AMCR,Amcor,0.03%,0.37,(0.92%)
PFG,Principal Financial Group,0.03%,0.48,(0.55%)
ALB,Albemarle Corporation,0.03%,-5.35,(-3.26%)
LNT,Alliant Energy,0.03%,0.91,(1.27%)
LULU,Lululemon Athletica,0.03%,-0.08,(-0.05%)
PTC,PTC Inc.,0.03%,-1.7,(-1.08%)
DD,DuPont,0.03%,-0.32,(-0.70%)
CSGP,CoStar Group,0.03%,0.4,(0.93%)
SMCI,Supermicro,0.03%,-0.33,(-1.08%)
INCY,Incyte,0.03%,0.16,(0.18%)
ZBH,Zimmer Biomet,0.03%,0.52,(0.56%)
NVR,"NVR, Inc.",0.03%,16.39,(0.25%)
IFF,International Flavors & Fragrances,0.03%,0.22,(0.31%)
HPQ,HP Inc.,0.03%,-0.14,(-0.75%)
CNC,Centene Corporation,0.03%,0.1,(0.28%)
HOLX,Hologic,0.03%,-0.02,(-0.03%)
WY,Weyerhaeuser,0.03%,0.24,(1.06%)
WST,West Pharmaceutical Services,0.03%,1.55,(0.67%)
FTV,Fortive,0.03%,-0.53,(-0.97%)
LII,Lennox International,0.03%,-7.66,(-1.59%)
BALL,Ball Corporation,0.03%,0.12,(0.19%)
FFIV,"F5, Inc.",0.03%,5.98,(2.12%)
ESS,Essex Property Trust,0.03%,0.31,(0.13%)
HII,Huntington Ingalls Industries,0.03%,-6.34,(-1.53%)
VTRS,Viatris,0.03%,0.02,(0.18%)
TXT,Textron,0.03%,-0.23,(-0.25%)
PODD,Insulet Corporation,0.03%,-12.06,(-5.11%)
MKC,McCormick & Company,0.03%,1.12,(1.95%)
AKAM,Akamai Technologies,0.03%,1.65,(1.56%)
KIM,Kimco Realty,0.03%,0.04,(0.15%)
TRMB,Trimble Inc.,0.03%,-0.34,(-0.51%)
TKO,TKO Group Holdings,0.03%,-4.64,(-2.31%)
INVH,Invitation Homes,0.03%,0.0,(0.01%)
J,Jacobs Solutions,0.02%,-1.55,(-1.19%)
APTV,Aptiv,0.02%,0.48,(0.69%)
MAA,Mid-America Apartment Communities,0.02%,-0.38,(-0.30%)
NDSN,Nordson Corporation,0.02%,-1.27,(-0.47%)
TYL,Tyler Technologies,0.02%,-0.54,(-0.16%)
GPC,Genuine Parts Company,0.02%,-0.76,(-0.71%)
CDW,CDW,0.02%,0.52,(0.46%)
PNR,Pentair,0.02%,0.28,(0.32%)
DECK,Deckers Brands,0.02%,0.63,(0.63%)
REG,Regency Centers,0.02%,0.25,(0.33%)
IEX,IDEX Corporation,0.02%,-1.06,(-0.56%)
COO,Cooper Companies (The),0.02%,-0.59,(-0.82%)
CLX,Clorox,0.02%,1.95,(1.80%)
DPZ,Domino's,0.02%,-0.25,(-0.06%)
HAS,Hasbro,0.02%,-0.95,(-1.00%)
BBY,Best Buy,0.02%,0.18,(0.29%)
AVY,Avery Dennison,0.02%,-0.14,(-0.08%)
EG,Everest Group,0.02%,-0.57,(-0.18%)
TTD,"The Trade Desk, Inc.",0.02%,0.67,(2.51%)
HST,Host Hotels & Resorts,0.02%,-0.07,(-0.38%)
ERIE,Erie Indemnity,0.02%,1.79,(0.74%)
GEN,Gen Digital,0.02%,0.02,(0.08%)
BEN,Franklin Resources,0.02%,0.62,(2.60%)
ALLE,Allegion,0.02%,-0.26,(-0.18%)
HRL,Hormel Foods,0.02%,0.04,(0.16%)
MAS,Masco,0.02%,0.65,(1.07%)
PNW,Pinnacle West,0.02%,1.15,(1.14%)
JKHY,Jack Henry & Associates,0.02%,0.21,(0.13%)
APA,APA Corporation,0.02%,0.27,(0.81%)
GNRC,Generac,0.02%,-1.72,(-0.84%)
UDR,"UDR, Inc.",0.02%,-0.12,(-0.33%)
DOC,Healthpeak Properties,0.02%,0.05,(0.32%)
UHS,Universal Health Services,0.02%,1.79,(0.94%)
FOX,Fox Corporation (Class B),0.02%,-0.33,(-0.64%)
IT,Gartner,0.02%,4.97,(3.10%)
ALGN,Align Technology,0.02%,-4.22,(-2.53%)
SOLV,Solventum,0.02%,0.42,(0.64%)
FOXA,Fox Corporation (Class A),0.02%,-0.62,(-1.08%)
SJM,J.M. Smucker Company (The),0.02%,0.94,(0.89%)
PSKY,Paramount Skydance Corp,0.02%,0.13,(1.28%)
GL,Globe Life,0.02%,0.18,(0.13%)
SWK,Stanley Black & Decker,0.02%,-0.66,(-0.92%)
GDDY,GoDaddy,0.02%,1.04,(1.29%)
BF.B,BrownâForman,0.02%,0.49,(2.13%)
AIZ,Assurant,0.02%,2.1,(0.97%)
WYNN,Wynn Resorts,0.02%,2.41,(2.44%)
